ID TIME HEIGHT MINER BLOCK TIMESTAMP TELAPSED RECEPTION SIZE_KB TXS DIFF TDIFF HASH PHASH
17 1786714054.169 0 0 0 0 0 0 0.046875 0 0 0 81fb8017bc8e25abebf9587dfca5e4ec591f02f42d16180fdf3b6fc7cd0480b9 0
17 1786714054.169 1 enode://18@127.0.0.1:1251 1 10 12 22 0.046875 1 1 1 c85d420cb88d78495647b251e762fed487c31083ed64ee61b76b46947ffa3b4e 81fb8017bc8e25abebf9587dfca5e4ec591f02f42d16180fdf3b6fc7cd0480b9
17 1786714054.169 2 enode://5@127.0.0.1:1238 2 22 21 43 0.046875 141 1 2 7e211e3cc0efd01bf1800bb3e3ad84c9684e11f1075505e3cc0d1ce8e7c51754 c85d420cb88d78495647b251e762fed487c31083ed64ee61b76b46947ffa3b4e
17 1786714054.169 3 enode://6@127.0.0.1:1239 3 43 42 85 0.046875 145 1 3 72629cc0d11baa0332dd40baa5acc330fdcfb4a1917403fc371bb20b82624b5a 7e211e3cc0efd01bf1800bb3e3ad84c9684e11f1075505e3cc0d1ce8e7c51754
17 1786714054.169 4 enode://20@127.0.0.1:1253 4 64 21 85 0.046875 258 1 4 c3bce6e03f7a673ad46f9a08522bdadfad228df29daf4e592a07665cb3fbb3dd 72629cc0d11baa0332dd40baa5acc330fdcfb4a1917403fc371bb20b82624b5a
17 1786714054.169 5 enode://1@127.0.0.1:1234 5 106 21 127 0.046875 194 1 5 25312f0e42e1136102e3b6d3616893789c48af4c41a580f42c605a7beacd1e2c c3bce6e03f7a673ad46f9a08522bdadfad228df29daf4e592a07665cb3fbb3dd
17 1786714054.169 6 enode://9@127.0.0.1:1242 6 141 28 169 0.046875 86 1 6 43029ac5a8b3f0bb8e244d58bcf32bf1823f9beabfcab950fc95c685fbe17532 25312f0e42e1136102e3b6d3616893789c48af4c41a580f42c605a7beacd1e2c
17 1786714054.169 7 enode://17@127.0.0.1:1250 7 251 0 251 0.046875 460 1 7 7cd5f8b9e91e0206de4ba855a10285a402269d2d9318f309091faf3453361fd1 43029ac5a8b3f0bb8e244d58bcf32bf1823f9beabfcab950fc95c685fbe17532
17 1786714054.169 8 enode://13@127.0.0.1:1246 8 316 252 568 0.046875 269 1 8 a80e376ccfebda4d1c888b78adcec7b843e2e4af81b38d1498cde8822314f61a 7cd5f8b9e91e0206de4ba855a10285a402269d2d9318f309091faf3453361fd1
17 1786714054.17 9 enode://14@127.0.0.1:1247 9 376 192 568 0.046875 72 1 9 8e4a2cb90d00b5e14afd59614ba6a139ebcdba24897956735a9c090e6612a8c9 a80e376ccfebda4d1c888b78adcec7b843e2e4af81b38d1498cde8822314f61a
17 1786714054.17 10 enode://12@127.0.0.1:1245 10 561 7 568 0.046875 331 1 10 1409e0f7f256178847b57efdb7ce02bc104de4b2662d1c0fb5b99ede4682cac0 8e4a2cb90d00b5e14afd59614ba6a139ebcdba24897956735a9c090e6612a8c9
17 1786714054.17 11 enode://11@127.0.0.1:1244 11 596 119 715 0.046875 120 1 11 b11a2a0a4f1474ef2ff2f4684d127d45309226a87c5b1f18ffc2ac7628397d31 1409e0f7f256178847b57efdb7ce02bc104de4b2662d1c0fb5b99ede4682cac0
17 1786714054.17 12 enode://10@127.0.0.1:1243 12 681 496 1177 0.046875 214 1 12 30bf4b8f7cf65da78734fd7b1f63a19edcc59a4fd98e558f25c70656c884be20 b11a2a0a4f1474ef2ff2f4684d127d45309226a87c5b1f18ffc2ac7628397d31
17 1786714054.17 13 enode://16@127.0.0.1:1249 13 866 311 1177 0.046875 471 1 13 f147847039fd0db4ea18c126457d11f1ca3a4bb244e4d13415d2655f78cb97e5 30bf4b8f7cf65da78734fd7b1f63a19edcc59a4fd98e558f25c70656c884be20
17 1786714054.17 14 enode://8@127.0.0.1:1241 14 1001 176 1177 0.046875 172 1 14 a011cc51fa57e3ecfb597e06c100b9e49663c1b6eaaae7d791b61a36ecee42c4 f147847039fd0db4ea18c126457d11f1ca3a4bb244e4d13415d2655f78cb97e5
17 1786714054.17 15 enode://4@127.0.0.1:1237 15 1036 141 1177 0.046875 62 1 15 984007e5bc96127f7c7083cd1484479b1759cc89cf3e40fe6c212730fb55083d a011cc51fa57e3ecfb597e06c100b9e49663c1b6eaaae7d791b61a36ecee42c4
17 1786714054.17 16 enode://5@127.0.0.1:1238 16 1177 168 1345 0.046875 225 1 16 1a6ee0b9d1c60c0b60551e0bdf6c15d0ddc64db46253f29deb57641fddca16cf 984007e5bc96127f7c7083cd1484479b1759cc89cf3e40fe6c212730fb55083d
17 1786714054.17 17 enode://6@127.0.0.1:1239 17 1287 58 1345 0.046875 64 1 17 03136f6f5bc383802d78d3586ae04a757905d9ac751c8f78491fa22f12972931 1a6ee0b9d1c60c0b60551e0bdf6c15d0ddc64db46253f29deb57641fddca16cf
17 1786714054.17 18 enode://7@127.0.0.1:1240 18 1422 7 1429 0.046875 648 1 18 8b1f6594667c93dc367e909eb573c18a0f7b96f4e6d84f045735c150c30c6f27 03136f6f5bc383802d78d3586ae04a757905d9ac751c8f78491fa22f12972931
17 1786714054.17 19 enode://3@127.0.0.1:1236 19 1471 0 1471 0.046875 208 1 19 2bb65f5d4d51f604508166b36300f00451a437f5e4433b178b8f2e585b02987d 8b1f6594667c93dc367e909eb573c18a0f7b96f4e6d84f045735c150c30c6f27
17 1786714054.17 20 enode://17@127.0.0.1:1250 20 1506 0 1506 0.046875 19 1 20 55f1d45cf8e931c60c64fee788c620dc5a78675bf05bcee15d4055fb92826e38 2bb65f5d4d51f604508166b36300f00451a437f5e4433b178b8f2e585b02987d
17 1786714054.17 21 enode://14@127.0.0.1:1247 21 1576 273 1849 0.046875 408 1 21 e357de27dc1c278d6eeb75389ab85b5b9a657b3b169d6b4672e3370e9b5e0d4b 55f1d45cf8e931c60c64fee788c620dc5a78675bf05bcee15d4055fb92826e38
17 1786714054.17 22 enode://12@127.0.0.1:1245 22 1686 163 1849 0.046875 174 1 22 f849fee1d29271c6b61d3c75f175d179896ff0cb1e027d12f9826a69cbdb7597 e357de27dc1c278d6eeb75389ab85b5b9a657b3b169d6b4672e3370e9b5e0d4b
17 1786714054.17 23 enode://2@127.0.0.1:1235 23 1896 58 1954 0.046875 736 1 23 b2006ed59bfdbbb731072e26d31f9a7022b42da1293d1a7b2e9cac17d41e1c29 f849fee1d29271c6b61d3c75f175d179896ff0cb1e027d12f9826a69cbdb7597
17 1786714054.171 24 enode://16@127.0.0.1:1249 24 1912 42 1954 0.046875 84 1 24 d37795817aaaa37e2be5e3bdd96785b34b0296e74399d29da09679d376670880 b2006ed59bfdbbb731072e26d31f9a7022b42da1293d1a7b2e9cac17d41e1c29
17 1786714054.171 25 enode://18@127.0.0.1:1251 25 1933 84 2017 0.046875 230 1 25 c06df355692563d8a906184d35711ef1c574d352e224dea4ca58a5f4a98706cc d37795817aaaa37e2be5e3bdd96785b34b0296e74399d29da09679d376670880
